,Year,MonthlyIncome,UPBatAcquisition,LTVRatio,BorrowerCount,InterestRate,OriginationValue,HousingExpenseToIncome,TotalDebtToIncome,B1CreditScore,B2CreditScore
6,2021,16084,457000,57.0,2,3.125,457000,19.56,30.33,4,4
10,2021,11392,496000,80.0,2,2.75,496000,22.35,26.82,5,5
13,2021,14681,383732,39.0,2,3.25,385000,27.9,30.37,5,5
29,2021,15690,508608,76.0,2,2.875,510400,19.23,22.4,5,5
30,2021,18041,400000,72.0,2,3.125,400000,14.39,43.16,5,4
36,2021,20262,510400,59.0,2,3.0,510400,18.34,27.19,5,5
37,2021,12523,510400,63.0,2,3.0,510400,23.88,29.96,4,4
50,2021,13670,377000,70.0,2,2.75,377000,14.84,20.74,5,5
71,2021,13719,502400,80.0,2,3.0,502400,19.69,24.31,5,5
79,2021,25279,450000,58.0,2,2.25,450000,16.3,29.27,5,3
89,2021,16151,465000,69.0,2,2.5,465000,17.27,41.54,5,5
91,2021,15685,509505,60.0,2,2.875,510400,21.37,28.11,5,5
99,2021,14939,350000,66.0,2,2.875,350000,13.36,37.84,4,4
104,2021,11886,464000,80.0,2,3.0,464000,22.44,30.67,5,2
116,2021,20250,350000,76.0,2,3.0,350000,9.88,24.63,3,3
117,2021,19123,468000,80.0,2,3.25,468000,14.96,28.96,4,4
118,2021,20128,548250,68.0,2,2.875,548250,16.65,20.76,5,5
121,2021,14163,399112,72.0,2,2.875,400000,17.24,19.78,5,5
125,2021,13535,317793,72.0,2,3.0,320000,16.34,32.53,4,5
126,2021,17287,455000,75.0,2,2.875,455000,15.97,28.3,5,5
131,2021,26718,500000,72.0,2,2.875,500000,11.4,16.1,5,5
141,2021,23904,448910,80.0,2,3.25,452800,12.19,25.58,5,5
145,2021,18201,331000,72.0,2,2.75,331000,13.79,25.02,5,4
150,2021,27742,348000,45.0,2,2.875,348000,9.32,20.46,5,5
151,2021,10162,424000,80.0,2,2.875,424000,24.34,26.49,5,5
152,2021,14820,407000,65.0,2,3.0,407000,14.13,17.37,5,5
156,2021,11303,484000,80.0,2,2.5,484000,33.0,34.17,5,5
158,2021,15563,540000,66.0,2,2.75,540000,21.37,22.22,5,5
161,2021,14724,350000,56.0,2,2.875,350000,17.32,42.36,3,3
163,2021,25401,464000,80.0,2,2.5,464000,9.33,28.73,5,5
168,2021,12187,388000,80.0,2,2.75,388000,15.86,20.83,5,5
175,2021,15737,417000,87.0,2,2.875,417000,14.8,29.24,4,4
177,2021,15622,548250,71.0,2,3.5,548250,25.75,40.47,5,2
184,2021,12829,360000,74.0,2,2.75,360000,20.96,36.85,4,4
192,2021,22991,292000,59.0,2,2.875,292000,21.39,32.11,5,5
193,2021,16704,495289,73.0,2,3.0,497000,22.18,38.46,4,2
196,2021,19399,423142,78.0,2,3.0,425000,14.95,35.97,4,4
199,2021,14106,336000,55.0,2,3.125,336000,14.52,14.89,4,5
206,2021,15491,420000,76.0,2,2.875,420000,18.67,38.48,3,4
209,2021,12997,548250,47.0,2,2.75,548250,33.84,43.14,5,5
210,2021,25561,396800,80.0,2,2.75,396800,8.83,24.82,5,4
222,2021,12492,325000,53.0,2,2.75,325000,17.36,23.65,4,5
225,2021,13885,448579,95.0,2,3.125,448579,21.38,48.9,4,4
242,2021,15251,435000,65.0,2,2.75,435000,17.62,24.17,3,5
250,2021,17482,394252,73.0,2,3.0,400500,14.61,15.68,5,5
253,2021,23861,440000,80.0,2,2.875,440000,10.0,13.0,5,5
272,2021,12744,380000,55.0,2,2.875,380000,17.87,37.02,4,3
273,2021,17413,420000,80.0,2,2.625,420000,13.75,22.75,5,5
287,2021,16985,430000,70.0,2,2.875,430000,15.11,30.02,5,5
289,2021,19724,548250,36.0,2,2.875,548250,9.39,25.73,5,5
290,2021,13341,385000,71.0,2,2.5,385000,21.49,22.33,4,5
291,2021,14375,335500,64.0,2,2.5,335500,23.14,37.95,5,4
299,2021,10583,436000,80.0,2,3.125,436000,25.06,29.2,5,5
303,2021,14249,437500,61.0,2,2.75,437500,17.17,26.11,5,5
313,2021,16680,365000,53.0,2,3.0,365000,13.81,19.66,5,5
324,2021,10417,450000,69.0,2,2.875,450000,25.23,30.4,3,3
352,2021,15962,375000,59.0,2,2.875,375000,15.59,18.54,5,5
357,2021,15922,480000,80.0,2,3.0,480000,17.07,28.66,5,5
363,2021,14639,343934,35.0,2,2.875,345000,20.22,24.4,5,5
375,2021,19501,352336,58.0,2,2.75,352969,10.86,14.0,5,5
377,2021,11696,509505,74.0,2,2.875,510400,24.92,37.54,5,4
378,2021,20546,424316,71.0,2,3.375,425000,11.61,14.98,5,5
388,2021,11345,504750,75.0,2,2.875,504750,24.35,38.59,3,4
393,2021,14441,418000,79.0,2,2.875,418000,15.69,28.11,3,3
398,2021,11803,450000,70.0,2,3.0,450000,21.39,34.91,4,4
401,2021,29166,430000,50.0,2,2.875,430000,12.97,14.87,5,4
402,2021,20067,406000,21.0,2,3.0,406000,39.44,40.69,5,5
